state_abrev,annc_date
AK,5/14/2021
AL,5/10/2021
AR,5/7/2021
AZ,5/13/2021
CA,
CO,
CT,
DC,
DE,
FL,5/24/2021
GA,5/13/2021
HI,
IA,5/11/2021
ID,5/11/2021
IL,
IN,5/17/2021
KS,
KY,
LA,6/19/2021
MA,
MD,6/1/2021
ME,
MI,
MN,
MO,5/11/2021
MS,5/10/2021
MT,5/4/2021
NC,
ND,5/10/2021
NE,5/24/2021
NH,5/18/2021
NJ,
NM,
NV,
NY,
OH,5/18/2021
OK,5/17/2021
OR,
PA,
RI,
SC,5/6/2021
SD,5/12/2021
TN,5/11/2021
TX,5/17/2021
UT,5/12/2021
VA,
VT,
WA,
WI,
WV,5/19/2021
WY,5/12/2021
