state_abrev,effe_date
AK,6/12/2021
AL,6/19/2021
AR,6/26/2021
AZ,7/10/2021
CA,9/4/2021
CO,9/4/2021
CT,9/4/2021
DC,9/4/2021
DE,9/4/2021
FL,6/26/2021
GA,6/26/2021
HI,9/4/2021
IA,6/12/2021
ID,6/19/2021
IL,9/4/2021
IN,6/19/2021
KS,9/4/2021
KY,9/4/2021
LA,7/31/2021
MA,9/4/2021
MD,7/31/2021
ME,9/4/2021
MI,9/4/2021
MN,9/4/2021
MO,6/12/2021
MS,6/12/2021
MT,6/27/2021
NC,9/4/2021
ND,6/19/2021
NE,6/19/2021
NH,6/19/2021
NJ,9/4/2021
NM,9/4/2021
NV,9/4/2021
NY,9/4/2021
OH,6/26/2021
OK,6/27/2021
OR,9/4/2021
PA,9/4/2021
RI,9/4/2021
SC,6/26/2021
SD,6/26/2021
TN,7/3/2021
TX,6/26/2021
UT,6/26/2021
VA,9/4/2021
VT,9/4/2021
WA,9/4/2021
WI,9/4/2021
WV,6/19/2021
WY,6/19/2021
